 61 3066.102620 3.826E-24 7.780E-01.03200.054 1432.52400.75-.006132    0 0 1 1 1F2    0 0 0 1 1F2    5E  33         4E   2     332333332329 1 1 1    22.0   18.0
 61 3066.174407 2.375E-25 4.285E-02.04400.068 1491.32190.75-.006132    0 2 0 1 2F2    0 0 0 1 1F2    5F2 58         5F1  4     332333332329 1 1 1    33.0   33.0
 61 3066.180662 2.605E-27 2.300E-04.04500.060 1593.87830.61-.006100    0 1 0 1 1F1    0 0 0 0 1A1   18F1 46        17F2  3     334332403638 7 1 7   111.0  105.0
 61 3066.222449 5.563E-26 4.924E-03.04500.060 1594.38310.61-.006100    0 1 0 1 1F2    0 0 0 0 1A1   18F2 47        17F1  5     334332403638 7 1 7   111.0  105.0
 61 3066.241196 1.726E-24 3.226E-01.04500.100 1716.09270.75-.006132    0 2 0 1 2F2    0 0 0 1 1F2    9A2 25         8A1  2     332333332329 1 1 1    95.0   85.0
 61 3066.262532 4.263E-23 1.402E-02.06500.083   31.44240.70-.006100    0 2 0 0 1E     0 0 0 0 1A1    2F1 10         2F2  1     344332453638 7 1 7    15.0   15.0
 61 3066.283107 1.427E-23 1.338E-01.04700.065 1096.17090.62-.006100    0 1 0 1 1F1    0 0 0 0 1A1   15F1 44        14F2  4     444332403638 7 1 7    93.0   87.0
 61 3066.283549 1.044E-24 3.751E-01.03900.062 1766.04640.75-.006133    0 0 1 1 1F2    0 0 0 1 1F2   10F2 66         9F1  3     332333332329 1 1 1    63.0   57.0
 61 3066.313834 2.120E-25 4.562E-02.04400.068 1434.59770.75-.006133    1 1 0 0 1E     0 0 0 1 1F2    3F1 41         4F2  4     332333332329 1 1 1    21.0   27.0
 61 3066.415890 1.068E-24 3.835E-01.03900.062 1765.92970.75-.006133    0 0 1 1 1F2    0 0 0 1 1F2   10F1 65         9F2  3     332333332329 1 1 1    63.0   57.0
 61 3066.419963 5.221E-25 1.424E-01.04700.099 1640.12710.75-.006133    0 3 0 0 1A1    0 1 0 0 1E     4A1 22         4A2  2     332333332329 1 1 1    45.0   45.0
 61 3066.470026 5.188E-23 2.559E-02.06000.083   31.44210.70-.006100    0 2 0 0 1E     0 0 0 0 1A1    2E   9         2E   1     354332453638 7 1 7    10.0   10.0
 61 3066.472644 1.571E-25 1.472E-03.04700.065 1095.98130.62-.006100    0 1 0 1 1F1    0 0 0 0 1A1   15F1 44        14F2  3     434332403638 7 1 7    93.0   87.0
 61 3066.484906 3.129E-25 9.805E-02.03900.062 1717.30750.75-.006133    0 2 0 1 1F2    0 0 0 1 1F2    9F1 75         8F2  5     332333332329 1 1 1    57.0   51.0
 61 3066.497246 3.710E-27 3.271E-04.04500.060 1593.56160.61-.006100    0 1 0 1 1F1    0 0 0 0 1A1   18F1 46        17F2  2     234332403638 7 1 7   111.0  105.0
 61 3066.515600 3.009E-24 4.073E-01.04400.068 1432.18050.75-.006133    0 0 1 1 1E     0 0 0 1 1F2    5F1 49         4F2  3     332333332329 1 1 1    33.0   27.0
 61 3066.531392 4.105E-24 5.605E-01.04400.068 1433.97220.75-.006133    0 0 1 1 1F1    0 0 0 1 1F2    5F2 48         4F1  3     332333332329 1 1 1    33.0   27.0
 61 3066.553623 2.742E-25 1.528E-01.03900.062 1875.07930.75-.006133    0 0 1 1 1F1    0 0 0 1 1F2   11F2 71        10F1  4     332333332329 1 1 1    69.0   63.0
 61 3066.579523 2.199E-27 1.944E-04.04500.060 1594.02590.61-.006100    0 1 0 1 1F2    0 0 0 0 1A1   18F2 47        17F1  4     334332403638 7 1 7   111.0  105.0
 61 3066.607506 3.084E-23 9.135E-02.04800.065  950.38500.62-.006100    1 0 0 0 1A1    0 0 0 0 1A1   14A1 16        13A2  1     344332453638 7 1 7   145.0  135.0
 61 3066.641707 8.330E-24 3.418E+00.03900.062 1694.70510.75-.006133    0 1 1 0 1F1    0 1 0 0 1E     6F2 79         5F1  7     332333332329 1 1 1    39.0   33.0
 61 3066.672720 1.941E-24 5.345E-04.06500.077  157.12780.72-.006100    0 2 0 0 1A1    0 0 0 0 1A1    5F1 24         5F2  1     344332453638 7 1 7    33.0   33.0
 61 3066.681927 3.798E-28 4.678E-05.04600.059 1778.20500.60-.006100    0 1 0 1 1F1    0 0 0 0 1A1   19A1 15        18A2  1     334332403638 7 1 7   195.0  185.0
